Date and time,12/12/2023 13:32:45
140.48627614974976,+0000.064E+00NV
141.82079410552979,+0000.064E+00NV
+0000.065E+00NV,143.0881667137146
144.153067111969,+0000.065E+00NV
145.0896999835968,+0000.065E+00NV
146.0597414970398,+0000.065E+00NV
147.10322284698486,+0000.065E+00NV
148.10904216766357,+0000.065E+00NV
149.12615633010864,+0000.065E+00NV
150.1264955997467,+0000.065E+00NV
+0000.065E+00NV,151.2325758934021
152.21870613098145,+0000.066E+00NV
153.4418168067932,+0000.066E+00NV
154.6038315296173,+0000.066E+00NV
+0000.066E+00NV,155.80729293823242
+0000.066E+00NV,156.9122986793518
+0000.066E+00NV,157.89104843139648
+0000.066E+00NV,159.27656078338623
160.55557298660278,+0000.067E+00NV
161.68130350112915,+0000.067E+00NV
162.84497904777527,+0000.067E+00NV
163.88044095039368,+0000.067E+00NV
164.98082637786865,+0000.067E+00NV
+0000.067E+00NV,166.15729069709778
167.21532797813416,+0000.068E+00NV
168.3158323764801,+0000.068E+00NV
169.3769407272339,+0000.068E+00NV
170.62775230407715,+0000.068E+00NV
171.7966194152832,+0000.068E+00NV
172.84501242637634,+0000.068E+00NV
174.093829870224,+0000.068E+00NV
+0000.069E+00NV,175.5358486175537
176.72809076309204,+0000.069E+00NV
177.85181164741516,+0000.069E+00NV
178.98399305343628,+0000.069E+00NV
+0000.069E+00NV,180.31668710708618
+0000.070E+00NV,181.5708782672882
+0000.070E+00NV,182.89178323745728
184.14414930343628,+0000.070E+00NV
185.4194884300232,+0000.070E+00NV
186.5410680770874,+0000.070E+00NV
187.64478945732117,+0000.070E+00NV
188.7465512752533,+0000.070E+00NV
+0000.071E+00NV,189.8622705936432
+0000.071E+00NV,191.3533980846405
192.4237744808197,+0000.071E+00NV
193.4227170944214,+0000.071E+00NV
194.435786485672,+0000.071E+00NV
+0000.071E+00NV,195.47728896141052
+0000.072E+00NV,196.5825366973877
+0000.072E+00NV,197.80253291130066
